Name,PointValue,TickSize,Url
AAPL,1,0.01,http://finance.yahoo.com/q?s=aapl
AMGN,1,0.01,http://finance.yahoo.com/q?s=amgn
AXP,1,0.01,http://finance.yahoo.com/q?s=axp
BA,1,0.01,http://finance.yahoo.com/q?s=ba
CAT,1,0.01,http://finance.yahoo.com/q?s=cat
CRM,1,0.01,http://finance.yahoo.com/q?s=CRM
CSCO,1,0.01,http://finance.yahoo.com/q?s=csco
CVX,1,0.01,http://finance.yahoo.com/q?s=CVX
DIS,1,0.01,http://finance.yahoo.com/q?s=dis
DOW,1,0.01,http://finance.yahoo.com/q?s=DOW
GS,1,0.01,http://finance.yahoo.com/q?s=GS
HD,1,0.01,http://finance.yahoo.com/q?s=hd
HON,1,0.01,http://finance.yahoo.com/q?s=HON
IBM,1,0.01,http://finance.yahoo.com/q?s=ibm
INTC,1,0.01,http://finance.yahoo.com/q?s=intc
JNJ,1,0.01,http://finance.yahoo.com/q?s=jnj
JPM,1,0.01,http://finance.yahoo.com/q?s=jpm
KO,1,0.01,http://finance.yahoo.com/q?s=ko
MCD,1,0.01,http://finance.yahoo.com/q?s=mcd
MMM,1,0.01,http://finance.yahoo.com/q?s=mmm
MRK,1,0.01,http://finance.yahoo.com/q?s=mrk
MSFT,1,0.01,http://finance.yahoo.com/q?s=msft
NKE,1,0.01,http://finance.yahoo.com/q?s=NKE
PG,1,0.01,http://finance.yahoo.com/q?s=pg
TRV,1,0.01,http://finance.yahoo.com/q?s=TRV
UNH,1,0.01,http://finance.yahoo.com/q?s=UNH
V,1,0.01,http://finance.yahoo.com/q?s=V
VZ,1,0.01,http://finance.yahoo.com/q?s=vz
WBA,1,0.01,http://finance.yahoo.com/q?s=wba
WMT,1,0.01,http://finance.yahoo.com/q?s=wmt
AUDUSD,1,1E-05,
EURCHF,1,1E-05,
EURGBP,1,1E-05,
EURJPY,0.01,0.001,
EURUSD,1,1E-05,
GBPUSD,1,1E-05,
USDCAD,1,1E-05,
USDCHF,1,1E-05,
USDJPY,0.01,0.001,
6B,62500,0.0001,http://www.cmegroup.com/trading/fx/g10/british-pound_contract_specifications.html
6E,125000,5E-05,http://www.cmegroup.com/trading/fx/g10/euro-fx_contract_specifications.html
CL,1000,0.01,http://www.cmegroup.com/trading/energy/crude-oil/light-sweet-crude_contract_specifications.html
ES,50,0.25,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-sandp500_contract_specifications.html
FDAX,25,1,https://www.eurex.com/ex-en/markets/idx/dax
GC,100,0.1,http://www.cmegroup.com/trading/metals/precious/gold_contract_specifications.html
NQ,20,0.25,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-nasdaq-100_contract_specifications.html
RTY,50,0.1,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-russell-2000_contract_specifications.html
SPK,1000,0.01,https://www.mgex.com/documents/SPIKES_Futures_Contract_Specifications_003.pdf
YM,5,1,http://www.cmegroup.com/trading/equity-index/us-index/e-mini-dow_contract_specifications.html
ZB,1000,0.03125,http://www.cmegroup.com/trading/interest-rates/us-treasury/30-year-us-treasury-bond_contract_specifications.html
ZN,1000,0.015625,http://www.cmegroup.com/trading/interest-rates/us-treasury/10-year-us-treasury-note_contract_specifications.html
ZS,50,0.25,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean_contract_specifications.html
ZW,50,0.25,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/wheat_contract_specifications.html
ADD,1,0.01,http://finance.yahoo.com/advances
ADV,1,1,http://finance.yahoo.com/advances
COMP,1,0.01,http://quotes.nasdaq.com/asp/quotes_indexchart.asp?index=IXIC
DJIA,1,0.01,http://www.djaverages.com/?view=industrial&page=overview
DVOL,1,1,http://finance.yahoo.com/advances
NDX,1,0.01,http://www.cboe.com/micro/ndx/
OEX,1,0.01,http://www.cboe.com/Products/indexopts/oex_spec.aspx
PCR,1,0.01,http://www.cboe.com/data/putcallratio.aspx
RUI,1,0.01,http://www.russell.com/Indexes/data/fact_sheets/us/Russell_1000_Index.asp
SP500,1,0.01,http://www.standardandpoors.com/indices/sp-500/en/us/?indexId=spusa-500-usduf--p-us-l--
TICK,1,1,http://www.investopedia.com/terms/t/tickindex.asp
TICKDJ,1,1,http://www.investopedia.com/terms/t/tickindex.asp
TICKQ,1,1,http://www.sentimentrader.com/subscriber/nas_cumtick_description.htm
TRIN,1,0.01,http://www.investopedia.com/terms/t/trin.asp
TRINQ,1,0.01,http://www.sentimentrader.com/subscriber/trin_nasdaq_description.htm
UVOL,1,1,http://finance.yahoo.com/advances
VIX,1,0.01,http://www.investopedia.com/terms/v/vix.asp
VOL,1,1,http://finance.yahoo.com/advances
XAU,1,0.01,http://www.phlx.com/products/xau.html
AAPL,1,0.01,http://finance.yahoo.com/q?s=aapl
ADBE,1,0.01,http://finance.yahoo.com/q?s=adbe
ADI,1,0.01,http://finance.yahoo.com/q?s=ADI
ADP,1,0.01,http://finance.yahoo.com/q?s=ADP
ADSK,1,0.01,http://finance.yahoo.com/q?s=adsk
AEP,1,0.01,http://finance.yahoo.com/q?s=AEP
ALGN,1,0.01,http://finance.yahoo.com/q?s=ALGN
ALXN,1,0.01,http://finance.yahoo.com/q?s=ALXN
AMAT,1,0.01,http://finance.yahoo.com/q?s=amat
AMD,1,0.01,http://finance.yahoo.com/q?s=AMD
AMGN,1,0.01,http://finance.yahoo.com/q?s=amgn
AMZN,1,0.01,http://finance.yahoo.com/q?s=amzn
ANSS,1,0.01,https://finance.yahoo.com/quote/ANSS/
ASML,1,0.01,http://finance.yahoo.com/q?s=ASML
ATVI,1,0.01,http://finance.yahoo.com/q?s=atvi
AVGO,1,0.01,http://finance.yahoo.com/q?s=AVGO
BIDU,1,0.01,http://finance.yahoo.com/q?s=BIDU
BIIB,1,0.01,http://finance.yahoo.com/q?s=biib
BKNG,1,0.01,https://finance.yahoo.com/quote/BKNG
CDNS,1,0.01,https://finance.yahoo.com/quote/CDNS/
CDW,1,0.01,https://finance.yahoo.com/quote/cdw
CERN,1,0.01,http://finance.yahoo.com/q?s=CERN
CHKP,1,0.01,http://finance.yahoo.com/q?s=chkp
CHTR,1,0.01,http://finance.yahoo.com/q?s=CHTR
CMCSA,1,0.01,http://finance.yahoo.com/q?s=cmcsa
COST,1,0.01,http://finance.yahoo.com/q?s=cost
CPRT,1,0.01,http://finance.yahoo.com/q?s=CPRT
CSCO,1,0.01,http://finance.yahoo.com/q?s=csco
CSX,1,0.01,http://finance.yahoo.com/q?s=CSX
CTAS,1,0.01,http://finance.yahoo.com/q?s=ctas
CTSH,1,0.01,http://finance.yahoo.com/q?s=ctsh
CTXS,1,0.01,http://finance.yahoo.com/q?s=ctxs
DLTR,1,0.01,http://finance.yahoo.com/q?s=DLTR
DOCU,1,0.01,https://finance.yahoo.com/quote/DOCU/
DXCM,1,0.01,https://finance.yahoo.com/quote/DXCM/
EA,1,0.01,http://finance.yahoo.com/q?s=es
